Time,ParticipantID,Condition,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,GazeTarget
0.17,Participant_05,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.28,Participant_05,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.39,Participant_05,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.50,Participant_05,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.61,Participant_05,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.73,Participant_05,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.84,Participant_05,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.94,Participant_05,Adaptive_Dual,1.386,1.407,1.124,327.8,14.6,None
1.05,Participant_05,Adaptive_Dual,1.384,1.405,1.113,322.5,13.5,None
1.16,Participant_05,Adaptive_Dual,1.381,1.405,1.103,316.9,14.9,None
1.27,Participant_05,Adaptive_Dual,1.377,1.406,1.094,311.3,16.0,None
1.39,Participant_05,Adaptive_Dual,1.370,1.413,1.091,308.9,13.3,None
1.50,Participant_05,Adaptive_Dual,1.369,1.411,1.084,306.7,15.5,None
1.61,Participant_05,Adaptive_Dual,1.367,1.405,1.079,304.2,17.3,None
1.72,Participant_05,Adaptive_Dual,1.364,1.412,1.073,299.9,12.9,None
1.83,Participant_05,Adaptive_Dual,1.368,1.416,1.069,299.4,11.3,None
1.94,Participant_05,Adaptive_Dual,1.372,1.418,1.071,305.1,10.0,None
2.05,Participant_05,Adaptive_Dual,1.374,1.420,1.076,310.3,6.6,None
2.15,Participant_05,Adaptive_Dual,1.376,1.422,1.079,312.2,6.3,None
2.26,Participant_05,Adaptive_Dual,1.378,1.420,1.080,312.1,8.2,None
2.37,Participant_05,Adaptive_Dual,1.377,1.421,1.078,310.5,8.3,None
2.48,Participant_05,Adaptive_Dual,1.376,1.421,1.077,309.6,8.4,None
2.59,Participant_05,Adaptive_Dual,1.375,1.421,1.076,308.5,8.5,None
2.71,Participant_05,Adaptive_Dual,1.374,1.421,1.077,308.4,8.5,None
2.82,Participant_05,Adaptive_Dual,1.373,1.421,1.077,308.3,8.5,Video
2.93,Participant_05,Adaptive_Dual,1.371,1.420,1.077,308.1,8.6,Video
3.04,Participant_05,Adaptive_Dual,1.370,1.420,1.078,308.1,8.7,Video
3.15,Participant_05,Adaptive_Dual,1.369,1.420,1.079,308.3,8.7,Video
3.26,Participant_05,Adaptive_Dual,1.368,1.420,1.081,308.5,8.9,None
3.37,Participant_05,Adaptive_Dual,1.365,1.420,1.082,308.6,9.0,None
3.48,Participant_05,Adaptive_Dual,1.364,1.420,1.083,308.9,9.1,None
3.60,Participant_05,Adaptive_Dual,1.362,1.420,1.084,308.9,9.2,None
3.71,Participant_05,Adaptive_Dual,1.360,1.420,1.084,309.0,9.3,None
3.82,Participant_05,Adaptive_Dual,1.359,1.420,1.085,309.1,9.5,None
3.93,Participant_05,Adaptive_Dual,1.358,1.420,1.085,309.2,9.5,None
4.04,Participant_05,Adaptive_Dual,1.358,1.420,1.086,309.5,9.6,None
4.15,Participant_05,Adaptive_Dual,1.358,1.420,1.087,309.9,9.6,None
4.26,Participant_05,Adaptive_Dual,1.359,1.419,1.087,310.2,9.7,None
4.37,Participant_05,Adaptive_Dual,1.360,1.421,1.089,312.1,7.9,None
4.49,Participant_05,Adaptive_Dual,1.363,1.421,1.088,312.3,8.0,None
4.60,Participant_05,Adaptive_Dual,1.370,1.420,1.093,318.8,9.3,None
4.71,Participant_05,Adaptive_Dual,1.374,1.418,1.093,320.2,9.8,None
4.82,Participant_05,Adaptive_Dual,1.376,1.418,1.091,319.7,10.0,None
4.93,Participant_05,Adaptive_Dual,1.381,1.418,1.091,321.7,10.2,None
5.04,Participant_05,Adaptive_Dual,1.384,1.417,1.088,321.8,10.0,None
5.15,Participant_05,Adaptive_Dual,1.386,1.417,1.084,321.3,10.2,None
5.26,Participant_05,Adaptive_Dual,1.388,1.417,1.082,321.8,10.3,None
