Time,ParticipantID,Condition,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,GazeTarget
0.16,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.26,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.36,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.46,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.56,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.67,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.77,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.87,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.97,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.07,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.17,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.27,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.37,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.48,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.58,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.68,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.78,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.88,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
1.98,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
2.08,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
2.18,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
2.28,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
2.39,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
2.49,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
2.59,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
2.69,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
2.79,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
2.89,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
2.99,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
3.09,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
3.20,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
3.30,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
3.40,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
3.50,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
3.60,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
3.70,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
3.80,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
3.90,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
4.00,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
4.10,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
4.20,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
4.31,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
4.41,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
4.51,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
4.62,Participant_03,Adaptive_Dual,0.989,1.407,1.004,358.5,24.3,None
4.72,Participant_03,Adaptive_Dual,0.982,1.403,1.007,356.4,26.1,None
4.83,Participant_03,Adaptive_Dual,0.976,1.402,1.009,353.6,26.6,None
4.94,Participant_03,Adaptive_Dual,0.970,1.401,1.010,351.3,27.4,None
5.06,Participant_03,Adaptive_Dual,0.964,1.402,1.010,347.3,27.3,None
5.17,Participant_03,Adaptive_Dual,0.961,1.404,1.008,342.7,27.4,None
5.28,Participant_03,Adaptive_Dual,0.960,1.396,1.004,338.6,31.0,None
5.39,Participant_03,Adaptive_Dual,0.957,1.397,1.003,335.1,30.0,None
5.50,Participant_03,Adaptive_Dual,0.946,1.401,0.996,327.6,30.8,Video
5.61,Participant_03,Adaptive_Dual,0.929,1.398,0.981,314.4,31.5,None
5.73,Participant_03,Adaptive_Dual,0.913,1.397,0.958,297.2,31.4,None
5.84,Participant_03,Adaptive_Dual,0.907,1.395,0.933,281.6,32.6,None
5.95,Participant_03,Adaptive_Dual,0.903,1.389,0.917,271.3,35.8,None
6.06,Participant_03,Adaptive_Dual,0.904,1.381,0.902,265.2,39.4,None
6.17,Participant_03,Adaptive_Dual,0.905,1.369,0.892,260.4,43.4,None
6.28,Participant_03,Adaptive_Dual,0.910,1.363,0.885,257.9,45.0,None
6.39,Participant_03,Adaptive_Dual,0.918,1.363,0.881,256.2,44.9,None
6.50,Participant_03,Adaptive_Dual,0.929,1.365,0.883,259.3,44.1,None
6.62,Participant_03,Adaptive_Dual,0.943,1.369,0.901,273.5,44.2,None
6.73,Participant_03,Adaptive_Dual,0.962,1.380,0.932,295.1,40.6,None
6.84,Participant_03,Adaptive_Dual,0.993,1.388,0.966,318.1,37.1,None
6.95,Participant_03,Adaptive_Dual,1.038,1.392,0.995,344.2,36.8,None
7.06,Participant_03,Adaptive_Dual,1.082,1.390,1.009,8.7,37.8,None
7.17,Participant_03,Adaptive_Dual,1.122,1.385,1.011,32.5,39.4,None
7.28,Participant_03,Adaptive_Dual,1.145,1.379,1.005,51.2,41.8,None
7.39,Participant_03,Adaptive_Dual,1.157,1.371,0.997,64.9,43.5,None
7.51,Participant_03,Adaptive_Dual,1.161,1.368,0.993,72.4,44.6,None
7.62,Participant_03,Adaptive_Dual,1.155,1.367,0.992,74.9,44.9,None
7.73,Participant_03,Adaptive_Dual,1.145,1.369,0.998,71.5,44.4,None
7.84,Participant_03,Adaptive_Dual,1.130,1.372,1.010,61.8,43.1,None
7.95,Participant_03,Adaptive_Dual,1.112,1.376,1.021,51.7,41.7,None
8.06,Participant_03,Adaptive_Dual,1.088,1.382,1.032,36.1,39.6,None
8.17,Participant_03,Adaptive_Dual,1.058,1.390,1.038,15.7,36.9,None
8.28,Participant_03,Adaptive_Dual,1.026,1.399,1.033,354.4,33.6,None
8.40,Participant_03,Adaptive_Dual,0.997,1.408,1.014,331.2,30.3,None
8.51,Participant_03,Adaptive_Dual,0.978,1.411,0.986,311.0,29.2,None
8.62,Participant_03,Adaptive_Dual,0.963,1.409,0.948,287.3,31.1,None
8.73,Participant_03,Adaptive_Dual,0.961,1.404,0.897,256.6,31.7,None
8.84,Participant_03,Adaptive_Dual,0.980,1.398,0.851,231.0,32.8,None
8.95,Participant_03,Adaptive_Dual,1.006,1.391,0.818,213.5,34.6,None
9.06,Participant_03,Adaptive_Dual,1.027,1.388,0.800,205.5,35.6,None
9.17,Participant_03,Adaptive_Dual,1.038,1.387,0.790,205.0,36.3,None
9.28,Participant_03,Adaptive_Dual,1.042,1.385,0.787,208.2,37.1,None
9.40,Participant_03,Adaptive_Dual,1.039,1.385,0.788,214.6,37.4,None
