Time,ParticipantID,Condition,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,GazeTarget
0.16,Participant_07,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.27,Participant_07,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.38,Participant_07,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.49,Participant_07,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.60,Participant_07,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.71,Participant_07,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.82,Participant_07,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.94,Participant_07,Adaptive_Dual,0.996,1.107,0.958,349.0,345.6,None
1.05,Participant_07,Adaptive_Dual,0.994,1.107,0.958,348.2,345.9,None
1.17,Participant_07,Adaptive_Dual,0.992,1.107,0.953,347.0,346.2,None
1.28,Participant_07,Adaptive_Dual,0.990,1.108,0.946,345.1,346.1,None
1.40,Participant_07,Adaptive_Dual,0.987,1.109,0.938,342.4,345.5,None
1.51,Participant_07,Adaptive_Dual,0.985,1.108,0.930,340.0,345.7,None
1.62,Participant_07,Adaptive_Dual,0.984,1.107,0.920,338.6,346.1,None
1.73,Participant_07,Adaptive_Dual,0.984,1.108,0.907,338.0,345.8,None
1.84,Participant_07,Adaptive_Dual,0.983,1.108,0.893,335.7,346.0,None
1.95,Participant_07,Adaptive_Dual,0.980,1.107,0.877,331.0,346.4,None
2.06,Participant_07,Adaptive_Dual,0.983,1.107,0.864,330.3,346.7,None
2.18,Participant_07,Adaptive_Dual,0.989,1.106,0.855,334.3,346.8,None
2.29,Participant_07,Adaptive_Dual,0.997,1.106,0.847,337.8,347.2,None
2.40,Participant_07,Adaptive_Dual,1.003,1.105,0.843,339.3,347.4,None
2.51,Participant_07,Adaptive_Dual,1.008,1.105,0.840,340.2,347.8,None
2.62,Participant_07,Adaptive_Dual,1.013,1.104,0.839,340.6,348.4,None
2.73,Participant_07,Adaptive_Dual,1.016,1.104,0.837,340.5,348.4,None
2.84,Participant_07,Adaptive_Dual,1.017,1.105,0.837,340.1,347.8,None
2.96,Participant_07,Adaptive_Dual,1.017,1.106,0.838,340.4,347.5,None
3.07,Participant_07,Adaptive_Dual,1.016,1.105,0.840,341.1,347.7,None
3.18,Participant_07,Adaptive_Dual,1.015,1.105,0.841,341.5,347.9,None
3.29,Participant_07,Adaptive_Dual,1.014,1.105,0.840,341.2,347.8,None
3.40,Participant_07,Adaptive_Dual,1.014,1.105,0.839,341.5,347.7,None
3.51,Participant_07,Adaptive_Dual,1.015,1.105,0.840,343.0,348.0,None
3.62,Participant_07,Adaptive_Dual,1.017,1.104,0.841,344.5,348.3,None
