Time,ParticipantID,Condition,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,GazeTarget
0.20,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.30,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.41,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.53,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.64,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.75,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.86,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.96,Participant_02,Adaptive_Dual,1.008,1.030,0.997,358.5,7.3,None
1.07,Participant_02,Adaptive_Dual,1.012,1.031,0.995,1.0,7.3,None
1.18,Participant_02,Adaptive_Dual,1.014,1.031,0.994,1.8,7.3,None
1.30,Participant_02,Adaptive_Dual,1.014,1.031,0.993,1.9,7.4,None
1.41,Participant_02,Adaptive_Dual,1.014,1.031,0.993,1.9,7.4,None
1.52,Participant_02,Adaptive_Dual,1.012,1.031,0.994,0.6,7.4,None
1.63,Participant_02,Adaptive_Dual,1.009,1.031,0.994,359.4,7.3,Video
1.73,Participant_02,Adaptive_Dual,1.007,1.031,0.995,358.7,7.3,Video
1.84,Participant_02,Adaptive_Dual,1.004,1.031,0.995,357.3,7.5,Video
1.95,Participant_02,Adaptive_Dual,1.002,1.031,0.996,355.8,7.5,Video
2.06,Participant_02,Adaptive_Dual,1.000,1.031,0.996,354.9,7.5,Video
2.17,Participant_02,Adaptive_Dual,0.997,1.030,0.997,353.3,7.8,Video
2.28,Participant_02,Adaptive_Dual,0.993,1.030,0.998,351.3,8.1,Video
2.39,Participant_02,Adaptive_Dual,0.989,1.029,0.999,349.5,8.4,Video
2.49,Participant_02,Adaptive_Dual,0.986,1.028,1.000,347.9,8.8,Video
2.60,Participant_02,Adaptive_Dual,0.984,1.028,1.001,347.2,9.0,Video
