Time,ParticipantID,Condition,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,GazeTarget
0.17,Participant_06,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.27,Participant_06,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.39,Participant_06,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.50,Participant_06,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.61,Participant_06,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.72,Participant_06,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.83,Participant_06,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.94,Participant_06,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.04,Participant_06,Adaptive_Dual,1.282,1.383,1.110,329.9,23.7,None
1.16,Participant_06,Adaptive_Dual,1.282,1.384,1.109,329.8,23.6,None
1.27,Participant_06,Adaptive_Dual,1.281,1.384,1.109,329.8,23.6,None
1.38,Participant_06,Adaptive_Dual,1.281,1.384,1.110,329.8,23.6,Video
1.49,Participant_06,Adaptive_Dual,1.282,1.386,1.109,330.0,22.7,Video
1.60,Participant_06,Adaptive_Dual,1.282,1.390,1.107,330.2,20.9,Video
1.71,Participant_06,Adaptive_Dual,1.284,1.399,1.100,328.6,16.7,Video
1.83,Participant_06,Adaptive_Dual,1.289,1.409,1.091,328.9,11.3,None
1.94,Participant_06,Adaptive_Dual,1.295,1.420,1.081,329.4,6.0,None
2.06,Participant_06,Adaptive_Dual,1.304,1.427,1.073,330.7,3.1,None
2.16,Participant_06,Adaptive_Dual,1.317,1.425,1.064,332.0,2.5,None
2.27,Participant_06,Adaptive_Dual,1.333,1.423,1.054,332.0,3.8,None
2.38,Participant_06,Adaptive_Dual,1.354,1.422,1.043,331.0,4.5,Video
2.49,Participant_06,Adaptive_Dual,1.379,1.423,1.030,329.9,5.4,Video
2.61,Participant_06,Adaptive_Dual,1.407,1.436,1.018,329.3,6.0,Video
2.72,Participant_06,Adaptive_Dual,1.435,1.440,1.004,328.5,4.1,Video
2.83,Participant_06,Adaptive_Dual,1.459,1.440,0.991,328.0,5.0,Video
2.94,Participant_06,Adaptive_Dual,1.477,1.439,0.978,327.2,4.9,Video
3.05,Participant_06,Adaptive_Dual,1.489,1.440,0.966,326.0,4.4,Video
3.16,Participant_06,Adaptive_Dual,1.497,1.440,0.955,325.3,3.9,Video
3.27,Participant_06,Adaptive_Dual,1.503,1.440,0.946,325.1,2.1,None
3.38,Participant_06,Adaptive_Dual,1.507,1.438,0.939,324.8,2.3,None
3.49,Participant_06,Adaptive_Dual,1.511,1.439,0.936,325.2,2.1,None
3.61,Participant_06,Adaptive_Dual,1.515,1.438,0.936,326.3,2.1,None
3.72,Participant_06,Adaptive_Dual,1.517,1.437,0.936,327.8,2.9,None
3.83,Participant_06,Adaptive_Dual,1.518,1.436,0.936,328.6,3.1,None
3.94,Participant_06,Adaptive_Dual,1.518,1.436,0.936,329.2,3.5,None
4.05,Participant_06,Adaptive_Dual,1.516,1.435,0.936,329.5,4.3,None
4.16,Participant_06,Adaptive_Dual,1.514,1.435,0.938,329.5,4.3,None
4.27,Participant_06,Adaptive_Dual,1.511,1.434,0.938,330.0,4.6,None
4.38,Participant_06,Adaptive_Dual,1.508,1.434,0.938,330.0,5.0,None
4.50,Participant_06,Adaptive_Dual,1.506,1.434,0.938,330.2,5.3,None
4.61,Participant_06,Adaptive_Dual,1.504,1.434,0.937,330.3,5.3,None
4.72,Participant_06,Adaptive_Dual,1.502,1.433,0.934,329.9,5.4,None
4.83,Participant_06,Adaptive_Dual,1.501,1.433,0.932,329.9,5.2,None
4.94,Participant_06,Adaptive_Dual,1.500,1.433,0.930,330.0,5.1,None
5.05,Participant_06,Adaptive_Dual,1.499,1.433,0.928,329.8,5.1,None
5.16,Participant_06,Adaptive_Dual,1.499,1.433,0.928,329.8,5.1,None
5.27,Participant_06,Adaptive_Dual,1.500,1.432,0.928,330.1,5.4,None
5.38,Participant_06,Adaptive_Dual,1.502,1.431,0.930,330.7,5.8,None
5.50,Participant_06,Adaptive_Dual,1.504,1.431,0.932,330.3,5.9,None
5.61,Participant_06,Adaptive_Dual,1.505,1.431,0.934,329.7,6.0,None
5.72,Participant_06,Adaptive_Dual,1.506,1.431,0.936,329.0,6.0,None
5.83,Participant_06,Adaptive_Dual,1.507,1.431,0.939,328.5,6.1,None
5.94,Participant_06,Adaptive_Dual,1.508,1.431,0.942,328.4,6.3,None
6.05,Participant_06,Adaptive_Dual,1.509,1.431,0.946,328.4,6.5,None
6.16,Participant_06,Adaptive_Dual,1.510,1.431,0.949,328.2,6.7,None
6.27,Participant_06,Adaptive_Dual,1.511,1.431,0.951,327.7,6.6,None
6.38,Participant_06,Adaptive_Dual,1.511,1.431,0.953,327.4,6.6,None
6.50,Participant_06,Adaptive_Dual,1.511,1.431,0.952,327.2,6.6,None
6.61,Participant_06,Adaptive_Dual,1.512,1.432,0.952,327.4,6.6,None
6.72,Participant_06,Adaptive_Dual,1.512,1.431,0.951,327.5,6.6,None
6.83,Participant_06,Adaptive_Dual,1.512,1.431,0.949,327.7,6.5,None
6.94,Participant_06,Adaptive_Dual,1.512,1.431,0.948,327.7,6.4,None
7.05,Participant_06,Adaptive_Dual,1.511,1.431,0.947,327.6,6.3,None
7.16,Participant_06,Adaptive_Dual,1.511,1.432,0.946,327.6,6.0,None
7.27,Participant_06,Adaptive_Dual,1.511,1.432,0.945,327.5,5.8,None
7.39,Participant_06,Adaptive_Dual,1.511,1.432,0.946,327.9,5.9,None
7.50,Participant_06,Adaptive_Dual,1.512,1.432,0.946,327.8,6.0,None
7.61,Participant_06,Adaptive_Dual,1.512,1.432,0.947,327.8,6.0,None
7.71,Participant_06,Adaptive_Dual,1.512,1.432,0.947,327.5,6.2,None
7.82,Participant_06,Adaptive_Dual,1.513,1.431,0.947,327.4,6.3,None
7.93,Participant_06,Adaptive_Dual,1.513,1.431,0.947,327.2,6.4,None
8.04,Participant_06,Adaptive_Dual,1.512,1.430,0.947,327.4,6.7,None
8.15,Participant_06,Adaptive_Dual,1.512,1.430,0.947,327.7,6.9,None
8.26,Participant_06,Adaptive_Dual,1.510,1.430,0.947,327.7,7.0,None
8.37,Participant_06,Adaptive_Dual,1.509,1.430,0.946,327.6,7.2,None
8.48,Participant_06,Adaptive_Dual,1.508,1.430,0.945,327.6,7.2,None
8.59,Participant_06,Adaptive_Dual,1.507,1.430,0.945,327.9,7.1,None
8.70,Participant_06,Adaptive_Dual,1.507,1.429,0.945,328.2,7.3,None
8.81,Participant_06,Adaptive_Dual,1.506,1.429,0.945,328.0,7.3,None
8.93,Participant_06,Adaptive_Dual,1.506,1.429,0.945,327.9,7.3,None
9.04,Participant_06,Adaptive_Dual,1.506,1.429,0.945,327.3,7.3,None
9.15,Participant_06,Adaptive_Dual,1.506,1.429,0.946,326.2,7.3,None
9.26,Participant_06,Adaptive_Dual,1.508,1.429,0.948,326.8,7.4,None
9.37,Participant_06,Adaptive_Dual,1.508,1.429,0.949,326.1,7.9,None
9.48,Participant_06,Adaptive_Dual,1.509,1.429,0.951,326.2,7.9,None
9.59,Participant_06,Adaptive_Dual,1.509,1.429,0.951,326.5,8.0,None
9.70,Participant_06,Adaptive_Dual,1.506,1.431,0.950,323.5,7.3,None
9.81,Participant_06,Adaptive_Dual,1.503,1.431,0.947,319.6,7.8,None
9.93,Participant_06,Adaptive_Dual,1.502,1.431,0.946,318.6,7.6,None
10.04,Participant_06,Adaptive_Dual,1.503,1.431,0.947,319.6,7.8,None
10.15,Participant_06,Adaptive_Dual,1.502,1.431,0.947,320.0,7.8,None
