Time,ParticipantID,Condition,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,GazeTarget
0.16,Participant_08,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.27,Participant_08,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.38,Participant_08,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.49,Participant_08,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.60,Participant_08,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.72,Participant_08,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.83,Participant_08,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.94,Participant_08,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.10,Participant_08,Adaptive_Dual,1.000,1.087,1.000,0.1,359.2,None
1.21,Participant_08,Adaptive_Dual,1.000,1.087,1.000,0.1,359.2,None
1.31,Participant_08,Adaptive_Dual,1.001,1.087,1.000,0.1,359.2,None
1.42,Participant_08,Adaptive_Dual,1.001,1.087,0.999,0.2,359.2,None
1.53,Participant_08,Adaptive_Dual,1.001,1.087,0.999,359.6,359.2,None
1.64,Participant_08,Adaptive_Dual,0.999,1.088,0.998,358.2,359.5,None
1.75,Participant_08,Adaptive_Dual,0.999,1.088,0.997,358.4,359.4,None
1.86,Participant_08,Adaptive_Dual,0.999,1.088,0.996,358.5,359.6,None
1.97,Participant_08,Adaptive_Dual,0.999,1.088,0.996,358.6,359.8,None
2.09,Participant_08,Adaptive_Dual,0.999,1.087,0.997,358.8,0.2,None
2.20,Participant_08,Adaptive_Dual,0.999,1.087,0.998,358.9,0.4,None
2.31,Participant_08,Adaptive_Dual,0.999,1.086,0.998,358.9,0.5,None
2.42,Participant_08,Adaptive_Dual,1.000,1.086,0.998,359.3,0.7,None
2.53,Participant_08,Adaptive_Dual,1.000,1.086,0.998,359.3,0.9,None
2.64,Participant_08,Adaptive_Dual,1.000,1.086,0.998,359.1,0.8,None
2.75,Participant_08,Adaptive_Dual,1.000,1.086,0.998,359.1,0.8,None
2.86,Participant_08,Adaptive_Dual,1.000,1.086,0.998,359.1,0.9,Video
2.98,Participant_08,Adaptive_Dual,0.999,1.086,0.999,359.0,0.9,Video
3.09,Participant_08,Adaptive_Dual,0.999,1.085,0.999,359.1,1.0,Video
3.20,Participant_08,Adaptive_Dual,0.999,1.085,0.999,359.1,0.9,Video
3.31,Participant_08,Adaptive_Dual,0.999,1.085,0.999,359.0,0.9,None
3.42,Participant_08,Adaptive_Dual,0.999,1.085,0.999,359.1,1.1,None
3.53,Participant_08,Adaptive_Dual,0.999,1.085,1.000,359.1,1.2,None
3.64,Participant_08,Adaptive_Dual,0.999,1.085,1.000,359.0,1.2,None
3.75,Participant_08,Adaptive_Dual,0.999,1.085,1.000,359.0,1.2,None
