Time,ParticipantID,Condition,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,GazeTarget
0.16,Participant_01,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.27,Participant_01,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.39,Participant_01,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.50,Participant_01,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.61,Participant_01,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.72,Participant_01,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.83,Participant_01,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.93,Participant_01,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.04,Participant_01,Adaptive_Dual,1.020,1.042,0.900,334.5,22.9,Video
1.16,Participant_01,Adaptive_Dual,1.020,1.042,0.901,334.3,22.9,Video
1.27,Participant_01,Adaptive_Dual,1.020,1.042,0.901,334.8,23.1,None
1.38,Participant_01,Adaptive_Dual,1.020,1.042,0.901,334.9,23.1,None
1.49,Participant_01,Adaptive_Dual,1.021,1.042,0.901,335.0,23.2,None
1.60,Participant_01,Adaptive_Dual,1.021,1.042,0.901,335.5,23.2,None
1.71,Participant_01,Adaptive_Dual,1.021,1.042,0.901,335.4,23.2,None
1.82,Participant_01,Adaptive_Dual,1.021,1.042,0.901,335.5,23.3,None
1.94,Participant_01,Adaptive_Dual,1.022,1.042,0.901,335.8,23.3,None
2.05,Participant_01,Adaptive_Dual,1.021,1.042,0.901,335.5,23.3,None
2.16,Participant_01,Adaptive_Dual,1.021,1.042,0.900,335.7,23.4,None
2.27,Participant_01,Adaptive_Dual,1.021,1.042,0.900,335.4,23.3,None
2.38,Participant_01,Adaptive_Dual,1.021,1.041,0.900,335.5,23.4,None
2.49,Participant_01,Adaptive_Dual,1.021,1.042,0.900,335.6,23.3,None
2.60,Participant_01,Adaptive_Dual,1.021,1.042,0.900,335.2,23.2,None
2.71,Participant_01,Adaptive_Dual,1.022,1.042,0.900,335.5,23.2,None
2.83,Participant_01,Adaptive_Dual,1.022,1.042,0.900,335.3,23.0,None
2.94,Participant_01,Adaptive_Dual,1.022,1.042,0.899,335.5,23.0,None
3.05,Participant_01,Adaptive_Dual,1.023,1.042,0.900,335.6,22.9,None
3.16,Participant_01,Adaptive_Dual,1.023,1.042,0.899,335.6,22.9,None
3.27,Participant_01,Adaptive_Dual,1.023,1.042,0.899,335.5,22.8,None
3.38,Participant_01,Adaptive_Dual,1.024,1.043,0.899,335.8,22.8,None
3.49,Participant_01,Adaptive_Dual,1.024,1.043,0.899,335.9,22.7,None
3.60,Participant_01,Adaptive_Dual,1.024,1.043,0.899,335.8,22.7,None
3.71,Participant_01,Adaptive_Dual,1.024,1.043,0.899,335.8,22.8,None
3.83,Participant_01,Adaptive_Dual,1.024,1.043,0.899,335.8,22.8,None
3.94,Participant_01,Adaptive_Dual,1.023,1.043,0.899,335.7,22.9,None
4.05,Participant_01,Adaptive_Dual,1.023,1.042,0.899,335.7,22.9,None
4.16,Participant_01,Adaptive_Dual,1.023,1.043,0.899,335.7,22.9,None
4.27,Participant_01,Adaptive_Dual,1.023,1.042,0.899,335.7,22.9,None
4.38,Participant_01,Adaptive_Dual,1.023,1.042,0.899,335.7,23.0,None
4.49,Participant_01,Adaptive_Dual,1.023,1.042,0.899,335.7,23.0,None
4.60,Participant_01,Adaptive_Dual,1.023,1.042,0.899,335.6,23.0,None
4.71,Participant_01,Adaptive_Dual,1.022,1.042,0.899,335.6,23.0,None
4.82,Participant_01,Adaptive_Dual,1.022,1.042,0.900,335.8,23.2,None
4.94,Participant_01,Adaptive_Dual,1.022,1.042,0.900,335.7,23.2,None
5.05,Participant_01,Adaptive_Dual,1.022,1.042,0.900,335.8,23.2,None
5.16,Participant_01,Adaptive_Dual,1.022,1.042,0.900,335.8,23.3,None
5.27,Participant_01,Adaptive_Dual,1.022,1.042,0.900,335.8,23.3,None
5.38,Participant_01,Adaptive_Dual,1.022,1.042,0.900,335.9,23.3,None
5.49,Participant_01,Adaptive_Dual,1.022,1.042,0.900,335.9,23.3,None
5.60,Participant_01,Adaptive_Dual,1.022,1.042,0.900,335.9,23.3,None
5.71,Participant_01,Adaptive_Dual,1.022,1.042,0.900,335.9,23.4,None
5.82,Participant_01,Adaptive_Dual,1.021,1.041,0.899,335.7,23.5,None
5.94,Participant_01,Adaptive_Dual,1.018,1.042,0.898,335.7,23.6,None
6.05,Participant_01,Adaptive_Dual,1.013,1.043,0.895,335.0,23.7,None
6.16,Participant_01,Adaptive_Dual,1.007,1.045,0.891,333.4,23.2,None
6.27,Participant_01,Adaptive_Dual,0.997,1.047,0.886,330.1,22.7,None
6.38,Participant_01,Adaptive_Dual,0.986,1.050,0.880,326.9,21.7,None
6.49,Participant_01,Adaptive_Dual,0.973,1.054,0.873,323.8,20.8,None
6.60,Participant_01,Adaptive_Dual,0.958,1.056,0.866,319.9,20.3,None
6.71,Participant_01,Adaptive_Dual,0.942,1.058,0.857,315.0,20.0,None
6.82,Participant_01,Adaptive_Dual,0.926,1.058,0.848,310.0,20.1,None
6.93,Participant_01,Adaptive_Dual,0.912,1.060,0.841,306.3,19.9,None
7.05,Participant_01,Adaptive_Dual,0.899,1.061,0.834,303.8,19.7,None
7.16,Participant_01,Adaptive_Dual,0.888,1.061,0.827,301.1,19.8,None
7.27,Participant_01,Adaptive_Dual,0.879,1.061,0.820,299.1,19.9,None
7.38,Participant_01,Adaptive_Dual,0.872,1.062,0.815,296.9,19.8,None
7.49,Participant_01,Adaptive_Dual,0.866,1.062,0.811,294.8,19.8,None
7.60,Participant_01,Adaptive_Dual,0.862,1.062,0.806,292.4,19.7,None
7.71,Participant_01,Adaptive_Dual,0.858,1.062,0.803,290.4,19.8,None
7.82,Participant_01,Adaptive_Dual,0.854,1.063,0.801,288.6,19.6,None
7.93,Participant_01,Adaptive_Dual,0.852,1.064,0.797,285.5,19.2,None
8.05,Participant_01,Adaptive_Dual,0.850,1.065,0.793,282.3,18.0,None
8.16,Participant_01,Adaptive_Dual,0.848,1.066,0.790,280.9,17.9,None
8.27,Participant_01,Adaptive_Dual,0.846,1.066,0.787,279.9,18.0,None
8.38,Participant_01,Adaptive_Dual,0.844,1.066,0.784,278.7,18.0,None
8.49,Participant_01,Adaptive_Dual,0.843,1.066,0.783,278.6,18.1,None
8.60,Participant_01,Adaptive_Dual,0.843,1.067,0.782,279.2,17.7,None
8.71,Participant_01,Adaptive_Dual,0.844,1.067,0.781,279.5,17.7,None
8.82,Participant_01,Adaptive_Dual,0.847,1.068,0.783,280.1,17.6,None
