Time,ParticipantID,Condition,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,GazeTarget
0.18,Participant_04,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.28,Participant_04,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.40,Participant_04,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.51,Participant_04,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.62,Participant_04,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.73,Participant_04,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.84,Participant_04,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.95,Participant_04,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
1.05,Participant_04,Adaptive_Dual,1.010,1.060,1.123,345.7,15.8,None
1.17,Participant_04,Adaptive_Dual,1.012,1.062,1.111,344.4,14.8,None
1.27,Participant_04,Adaptive_Dual,1.012,1.060,1.101,345.4,15.5,None
1.38,Participant_04,Adaptive_Dual,1.011,1.058,1.084,345.9,16.1,None
1.49,Participant_04,Adaptive_Dual,1.007,1.058,1.061,344.5,16.0,Video
1.60,Participant_04,Adaptive_Dual,1.004,1.059,1.033,342.5,15.1,Video
1.71,Participant_04,Adaptive_Dual,1.002,1.061,1.004,341.8,14.0,Video
1.82,Participant_04,Adaptive_Dual,1.004,1.063,0.978,342.7,12.6,Video
1.93,Participant_04,Adaptive_Dual,1.008,1.066,0.958,344.9,11.1,None
2.05,Participant_04,Adaptive_Dual,1.010,1.068,0.940,345.2,9.6,Video
2.15,Participant_04,Adaptive_Dual,1.013,1.069,0.924,345.5,9.7,Video
2.27,Participant_04,Adaptive_Dual,1.014,1.069,0.912,345.3,9.7,Video
2.38,Participant_04,Adaptive_Dual,1.015,1.073,0.904,345.4,7.4,Video
2.49,Participant_04,Adaptive_Dual,1.016,1.081,0.899,347.1,4.1,Video
2.60,Participant_04,Adaptive_Dual,1.018,1.085,0.894,348.4,1.6,Video
2.71,Participant_04,Adaptive_Dual,1.017,1.085,0.892,348.5,1.5,Video
2.81,Participant_04,Adaptive_Dual,1.015,1.084,0.894,348.0,2.1,Video
2.92,Participant_04,Adaptive_Dual,1.014,1.083,0.897,347.9,2.3,Video
3.03,Participant_04,Adaptive_Dual,1.013,1.082,0.897,348.4,3.1,Video
3.14,Participant_04,Adaptive_Dual,1.012,1.081,0.896,348.0,3.3,Video
3.25,Participant_04,Adaptive_Dual,1.010,1.081,0.895,347.6,3.2,Video
3.36,Participant_04,Adaptive_Dual,1.009,1.082,0.894,347.3,2.9,Video
3.48,Participant_04,Adaptive_Dual,1.009,1.082,0.895,347.6,3.2,Video
3.58,Participant_04,Adaptive_Dual,1.009,1.081,0.894,347.7,3.3,Video
3.68,Participant_04,Adaptive_Dual,1.009,1.081,0.895,347.6,3.4,Video
3.79,Participant_04,Adaptive_Dual,1.009,1.081,0.895,347.5,3.4,Video
3.91,Participant_04,Adaptive_Dual,1.009,1.081,0.896,347.6,3.7,Video
4.02,Participant_04,Adaptive_Dual,1.009,1.080,0.895,347.6,4.1,Video
4.13,Participant_04,Adaptive_Dual,1.009,1.080,0.896,347.8,4.2,Video
4.24,Participant_04,Adaptive_Dual,1.009,1.080,0.895,347.9,4.1,Video
4.34,Participant_04,Adaptive_Dual,1.009,1.080,0.895,347.7,3.6,Video
4.45,Participant_04,Adaptive_Dual,1.009,1.087,0.893,347.6,359.3,None
4.56,Participant_04,Adaptive_Dual,1.011,1.095,0.889,348.3,354.2,None
4.67,Participant_04,Adaptive_Dual,1.012,1.102,0.883,348.5,349.5,None
4.78,Participant_04,Adaptive_Dual,1.014,1.106,0.878,349.4,346.6,None
4.89,Participant_04,Adaptive_Dual,1.016,1.108,0.874,350.5,344.4,None
5.00,Participant_04,Adaptive_Dual,1.019,1.110,0.870,352.5,343.2,None
5.11,Participant_04,Adaptive_Dual,1.022,1.112,0.868,354.8,341.8,None
5.21,Participant_04,Adaptive_Dual,1.026,1.112,0.867,357.7,341.4,None
5.32,Participant_04,Adaptive_Dual,1.029,1.110,0.867,359.6,342.4,None
5.43,Participant_04,Adaptive_Dual,1.030,1.108,0.870,1.4,344.0,None
5.55,Participant_04,Adaptive_Dual,1.033,1.107,0.873,3.0,345.0,None
5.66,Participant_04,Adaptive_Dual,1.035,1.106,0.875,4.6,345.9,None
5.77,Participant_04,Adaptive_Dual,1.037,1.104,0.878,5.4,346.6,None
5.87,Participant_04,Adaptive_Dual,1.037,1.104,0.879,4.8,346.9,None
5.98,Participant_04,Adaptive_Dual,1.036,1.103,0.880,4.6,347.3,None
6.09,Participant_04,Adaptive_Dual,1.036,1.103,0.880,4.5,347.6,None
6.20,Participant_04,Adaptive_Dual,1.035,1.102,0.881,4.4,347.9,None
6.31,Participant_04,Adaptive_Dual,1.034,1.102,0.881,4.1,348.4,None
6.42,Participant_04,Adaptive_Dual,1.034,1.101,0.882,4.0,348.7,None
6.53,Participant_04,Adaptive_Dual,1.034,1.101,0.883,3.8,349.0,None
6.63,Participant_04,Adaptive_Dual,1.035,1.100,0.883,3.8,349.5,None
6.74,Participant_04,Adaptive_Dual,1.035,1.100,0.883,3.8,349.6,None
6.85,Participant_04,Adaptive_Dual,1.035,1.100,0.883,3.9,349.7,None
6.96,Participant_04,Adaptive_Dual,1.034,1.100,0.883,3.5,349.9,None
7.07,Participant_04,Adaptive_Dual,1.034,1.100,0.883,3.4,349.9,None
7.18,Participant_04,Adaptive_Dual,1.033,1.100,0.883,3.2,349.9,None
7.30,Participant_04,Adaptive_Dual,1.032,1.100,0.883,2.9,349.9,None
7.40,Participant_04,Adaptive_Dual,1.032,1.099,0.883,3.1,350.0,None
7.50,Participant_04,Adaptive_Dual,1.032,1.099,0.883,2.8,350.2,None
7.61,Participant_04,Adaptive_Dual,1.032,1.099,0.884,2.3,350.4,None
7.73,Participant_04,Adaptive_Dual,1.032,1.099,0.884,2.6,350.6,None
7.84,Participant_04,Adaptive_Dual,1.033,1.099,0.884,2.7,350.7,None
7.95,Participant_04,Adaptive_Dual,1.032,1.099,0.884,2.3,350.7,None
8.06,Participant_04,Adaptive_Dual,1.032,1.098,0.884,2.5,351.1,None
8.16,Participant_04,Adaptive_Dual,1.033,1.097,0.884,4.1,352.2,None
8.27,Participant_04,Adaptive_Dual,1.028,1.097,0.884,1.6,352.3,None
8.38,Participant_04,Adaptive_Dual,1.029,1.096,0.884,3.3,353.0,None
8.49,Participant_04,Adaptive_Dual,1.028,1.096,0.884,3.5,353.0,None
8.60,Participant_04,Adaptive_Dual,1.028,1.096,0.885,3.2,353.0,None
8.71,Participant_04,Adaptive_Dual,1.028,1.096,0.886,3.2,353.1,None
8.82,Participant_04,Adaptive_Dual,1.028,1.096,0.886,3.0,353.1,None
8.93,Participant_04,Adaptive_Dual,1.028,1.096,0.887,3.0,353.1,None
9.03,Participant_04,Adaptive_Dual,1.028,1.096,0.887,2.8,353.3,None
9.14,Participant_04,Adaptive_Dual,1.028,1.096,0.887,2.6,353.3,None
9.25,Participant_04,Adaptive_Dual,1.027,1.095,0.886,2.6,353.3,None
9.37,Participant_04,Adaptive_Dual,1.027,1.095,0.886,2.3,353.5,None
9.48,Participant_04,Adaptive_Dual,1.027,1.095,0.887,2.3,353.6,None
9.59,Participant_04,Adaptive_Dual,1.026,1.095,0.887,2.2,353.7,None
9.70,Participant_04,Adaptive_Dual,1.025,1.095,0.887,1.9,353.9,None
9.81,Participant_04,Adaptive_Dual,1.025,1.095,0.886,1.9,353.9,None
9.92,Participant_04,Adaptive_Dual,1.025,1.095,0.886,2.0,353.9,None
10.03,Participant_04,Adaptive_Dual,1.025,1.095,0.886,2.0,353.9,None
10.14,Participant_04,Adaptive_Dual,1.025,1.094,0.886,1.9,354.0,None
10.25,Participant_04,Adaptive_Dual,1.025,1.094,0.887,1.8,354.1,None
10.37,Participant_04,Adaptive_Dual,1.024,1.094,0.887,1.7,354.2,None
10.48,Participant_04,Adaptive_Dual,1.024,1.094,0.887,1.7,354.4,None
10.59,Participant_04,Adaptive_Dual,1.023,1.094,0.887,0.8,354.4,None
10.70,Participant_04,Adaptive_Dual,1.022,1.094,0.887,359.2,354.4,None
10.81,Participant_04,Adaptive_Dual,1.019,1.093,0.886,356.5,354.9,None
10.92,Participant_04,Adaptive_Dual,1.014,1.093,0.885,353.0,355.6,None
11.03,Participant_04,Adaptive_Dual,1.011,1.091,0.885,350.6,356.6,None
11.14,Participant_04,Adaptive_Dual,1.008,1.090,0.884,347.5,357.5,None
11.25,Participant_04,Adaptive_Dual,1.006,1.088,0.883,345.9,358.4,None
11.37,Participant_04,Adaptive_Dual,1.005,1.087,0.883,345.3,359.4,None
11.48,Participant_04,Adaptive_Dual,1.005,1.086,0.883,345.8,359.9,None
11.59,Participant_04,Adaptive_Dual,1.006,1.086,0.884,346.4,359.8,None
11.70,Participant_04,Adaptive_Dual,1.006,1.086,0.884,346.6,359.9,None
11.81,Participant_04,Adaptive_Dual,1.005,1.086,0.884,346.8,360.0,None
11.92,Participant_04,Adaptive_Dual,1.005,1.086,0.884,347.1,359.9,None
12.03,Participant_04,Adaptive_Dual,1.005,1.086,0.884,347.1,359.8,None
12.14,Participant_04,Adaptive_Dual,1.005,1.086,0.883,347.4,359.8,None
12.25,Participant_04,Adaptive_Dual,1.005,1.086,0.883,347.9,359.7,None
12.37,Participant_04,Adaptive_Dual,1.005,1.087,0.882,348.0,359.6,None
12.48,Participant_04,Adaptive_Dual,1.006,1.086,0.882,348.4,359.5,None
12.59,Participant_04,Adaptive_Dual,1.005,1.086,0.882,348.2,359.6,None
12.70,Participant_04,Adaptive_Dual,1.005,1.086,0.883,348.3,359.9,None
12.81,Participant_04,Adaptive_Dual,1.005,1.086,0.883,348.7,0.1,None
12.92,Participant_04,Adaptive_Dual,1.007,1.085,0.884,349.6,0.2,None
13.03,Participant_04,Adaptive_Dual,1.008,1.085,0.884,350.1,0.3,None
13.14,Participant_04,Adaptive_Dual,1.009,1.085,0.884,350.5,0.4,None
13.25,Participant_04,Adaptive_Dual,1.010,1.085,0.884,350.6,0.4,None
13.37,Participant_04,Adaptive_Dual,1.009,1.085,0.884,350.5,0.6,None
13.48,Participant_04,Adaptive_Dual,1.009,1.085,0.884,350.6,0.7,None
