Time,ParticipantID,Condition,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,GazeTarget
0.16,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.27,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.38,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.49,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.60,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.71,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.82,Participant_03,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,Video
0.92,Participant_03,Adaptive_Dual,0.961,1.030,0.959,342.9,6.3,None
1.04,Participant_03,Adaptive_Dual,0.962,1.031,0.958,343.6,5.7,None
1.15,Participant_03,Adaptive_Dual,0.962,1.031,0.957,344.1,5.4,Video
1.26,Participant_03,Adaptive_Dual,0.962,1.032,0.956,344.5,5.0,Video
1.37,Participant_03,Adaptive_Dual,0.963,1.032,0.956,344.5,4.4,Video
1.48,Participant_03,Adaptive_Dual,0.962,1.033,0.956,343.8,4.0,Video
1.59,Participant_03,Adaptive_Dual,0.962,1.034,0.955,342.6,3.3,Video
1.70,Participant_03,Adaptive_Dual,0.960,1.036,0.954,341.6,2.6,Video
1.82,Participant_03,Adaptive_Dual,0.960,1.036,0.952,342.7,2.0,Video
1.93,Participant_03,Adaptive_Dual,0.964,1.038,0.950,344.9,1.2,Video
2.04,Participant_03,Adaptive_Dual,0.969,1.039,0.947,347.4,0.3,Video
2.15,Participant_03,Adaptive_Dual,0.973,1.039,0.940,349.0,0.8,Video
2.26,Participant_03,Adaptive_Dual,0.974,1.038,0.932,349.9,1.5,Video
2.37,Participant_03,Adaptive_Dual,0.975,1.037,0.923,351.0,1.9,Video
2.48,Participant_03,Adaptive_Dual,0.974,1.037,0.913,352.4,2.7,Video
2.59,Participant_03,Adaptive_Dual,0.974,1.035,0.901,353.7,4.1,Video
2.71,Participant_03,Adaptive_Dual,0.977,1.036,0.882,355.8,3.9,Video
2.82,Participant_03,Adaptive_Dual,0.983,1.039,0.860,1.1,2.0,None
2.93,Participant_03,Adaptive_Dual,0.996,1.039,0.836,10.5,1.7,None
3.04,Participant_03,Adaptive_Dual,1.010,1.039,0.812,20.4,2.2,None
3.15,Participant_03,Adaptive_Dual,1.020,1.039,0.790,26.3,2.2,None
3.26,Participant_03,Adaptive_Dual,1.026,1.039,0.771,28.4,2.0,None
3.37,Participant_03,Adaptive_Dual,1.029,1.039,0.757,29.4,1.6,Video
3.48,Participant_03,Adaptive_Dual,1.030,1.040,0.748,31.4,1.2,Video
3.59,Participant_03,Adaptive_Dual,1.029,1.040,0.744,33.4,0.7,Video
3.71,Participant_03,Adaptive_Dual,1.028,1.042,0.745,33.9,359.2,Video
3.82,Participant_03,Adaptive_Dual,1.025,1.048,0.751,31.6,355.4,Video
3.93,Participant_03,Adaptive_Dual,1.017,1.053,0.759,25.0,352.1,Video
4.04,Participant_03,Adaptive_Dual,1.004,1.056,0.767,13.9,349.8,Video
4.15,Participant_03,Adaptive_Dual,0.991,1.057,0.771,4.8,349.9,Video
4.26,Participant_03,Adaptive_Dual,0.979,1.060,0.771,358.3,348.2,None
4.37,Participant_03,Adaptive_Dual,0.973,1.063,0.767,355.4,345.5,None
4.50,Participant_03,Adaptive_Dual,0.971,1.065,0.763,355.4,343.7,None
4.61,Participant_03,Adaptive_Dual,0.971,1.067,0.759,354.3,342.5,None
4.72,Participant_03,Adaptive_Dual,0.972,1.066,0.757,354.6,342.5,None
4.83,Participant_03,Adaptive_Dual,0.972,1.066,0.757,354.7,342.7,None
4.94,Participant_03,Adaptive_Dual,0.972,1.066,0.758,354.8,343.2,None
5.05,Participant_03,Adaptive_Dual,0.972,1.065,0.759,354.8,343.4,None
5.17,Participant_03,Adaptive_Dual,0.972,1.065,0.759,354.8,343.6,None
5.28,Participant_03,Adaptive_Dual,0.972,1.064,0.759,355.0,343.8,None
5.39,Participant_03,Adaptive_Dual,0.971,1.064,0.760,355.0,344.2,None
5.50,Participant_03,Adaptive_Dual,0.971,1.062,0.761,355.0,345.4,None
5.61,Participant_03,Adaptive_Dual,0.971,1.056,0.763,355.2,348.7,None
5.72,Participant_03,Adaptive_Dual,0.970,1.045,0.766,355.3,356.2,Video
5.83,Participant_03,Adaptive_Dual,0.969,1.033,0.771,355.5,5.4,Video
5.94,Participant_03,Adaptive_Dual,0.967,1.025,0.779,354.7,11.2,None
6.05,Participant_03,Adaptive_Dual,0.965,1.021,0.784,353.9,13.7,None
6.17,Participant_03,Adaptive_Dual,0.964,1.019,0.788,353.9,15.4,None
6.28,Participant_03,Adaptive_Dual,0.963,1.020,0.789,354.0,14.4,None
6.39,Participant_03,Adaptive_Dual,0.962,1.024,0.786,353.5,12.3,None
6.50,Participant_03,Adaptive_Dual,0.959,1.028,0.784,351.8,9.4,Video
6.61,Participant_03,Adaptive_Dual,0.957,1.036,0.781,349.5,4.4,Video
6.72,Participant_03,Adaptive_Dual,0.957,1.043,0.776,349.2,359.2,Video
6.83,Participant_03,Adaptive_Dual,0.961,1.048,0.770,351.3,355.9,Video
6.94,Participant_03,Adaptive_Dual,0.965,1.051,0.765,353.2,353.4,Video
7.05,Participant_03,Adaptive_Dual,0.967,1.053,0.761,353.3,351.8,Video
7.16,Participant_03,Adaptive_Dual,0.968,1.056,0.758,354.0,349.7,None
7.28,Participant_03,Adaptive_Dual,0.974,1.057,0.756,358.6,348.8,None
7.39,Participant_03,Adaptive_Dual,0.982,1.056,0.755,3.8,349.4,None
7.50,Participant_03,Adaptive_Dual,0.992,1.056,0.754,9.2,349.7,None
7.61,Participant_03,Adaptive_Dual,1.003,1.056,0.753,15.5,350.2,None
7.72,Participant_03,Adaptive_Dual,1.018,1.054,0.749,24.9,351.4,None
7.83,Participant_03,Adaptive_Dual,1.034,1.052,0.743,34.6,353.3,None
7.94,Participant_03,Adaptive_Dual,1.049,1.049,0.735,44.4,355.1,None
8.05,Participant_03,Adaptive_Dual,1.062,1.044,0.723,55.2,357.6,None
8.16,Participant_03,Adaptive_Dual,1.074,1.040,0.708,66.1,359.5,None
